id,call_time,pct,street_add,street_name,date,Incident ID,Call Time,Precinct,Nearest Intersection,street1,street2
202402800363.0,2024-01-28 01:31:50,8.0,18967 WARWICK ST, WARWICK ST,2024-01-28,202402803172,2024-01-28 22:04:20,8.0,Eaton St & Prevost St,EATON ST,PREVOST ST
202402800365.0,2024-01-28 01:31:57,8.0,18959 WARWICK ST, WARWICK ST,2024-01-28,202402803172,2024-01-28 22:04:20,8.0,Eaton St & Prevost St,EATON ST,PREVOST ST
202402800377.0,2024-01-28 01:33:17,8.0,18957 WARWICK ST, WARWICK ST,2024-01-28,202402803172,2024-01-28 22:04:20,8.0,Eaton St & Prevost St,EATON ST,PREVOST ST
202402800393.0,2024-01-28 01:37:19,8.0,19169 FERGUSON ST, FERGUSON ST,2024-01-28,202402803172,2024-01-28 22:04:20,8.0,Eaton St & Prevost St,EATON ST,PREVOST ST
202402800396.0,2024-01-28 01:37:35,8.0,16400 CAMBRIDGE AVE, CAMBRIDGE AVE,2024-01-28,202402803172,2024-01-28 22:04:20,8.0,Eaton St & Prevost St,EATON ST,PREVOST ST
202402800425.0,2024-01-28 01:43:59,8.0,19152 FERGUSON ST, FERGUSON ST,2024-01-28,202402803172,2024-01-28 22:04:20,8.0,Eaton St & Prevost St,EATON ST,PREVOST ST
202402801174.0,2024-01-28 06:36:04,8.0,18633 SUNDERLAND RD, SUNDERLAND RD,2024-01-28,202402803172,2024-01-28 22:04:20,8.0,Eaton St & Prevost St,EATON ST,PREVOST ST
202402801182.0,2024-01-28 06:38:02,8.0,18598 WARWICK ST, WARWICK ST,2024-01-28,202402803172,2024-01-28 22:04:20,8.0,Eaton St & Prevost St,EATON ST,PREVOST ST
202402802609.0,2024-01-28 14:38:29,8.0,18359 SAINT MARTINS AVE, SAINT MARTINS AVE,2024-01-28,202402803172,2024-01-28 22:04:20,8.0,Eaton St & Prevost St,EATON ST,PREVOST ST
202402804250.0,2024-01-28 22:27:19,8.0,18126 EVERGREEN RD, EVERGREEN RD,2024-01-28,202402803172,2024-01-28 22:04:20,8.0,Eaton St & Prevost St,EATON ST,PREVOST ST
202402800504.0,2024-01-28 02:16:07,12.0,17923 JOHN R ST, JOHN R ST,2024-01-28,202402800663,2024-01-28 08:06:48,12.0,Lesure St & W Outer Dr,LESURE ST,W OUTER DR
202402800514.0,2024-01-28 02:19:12,12.0,18 W MONTANA ST, W MONTANA ST,2024-01-28,202402800663,2024-01-28 08:06:48,12.0,Lesure St & W Outer Dr,LESURE ST,W OUTER DR
202402800541.0,2024-01-28 02:30:11,12.0,13 W MONTANA ST, W MONTANA ST,2024-01-28,202402800663,2024-01-28 08:06:48,12.0,Lesure St & W Outer Dr,LESURE ST,W OUTER DR
202402802153.0,2024-01-28 12:12:42,12.0,19153 LESURE ST, LESURE ST,2024-01-28,202402800663,2024-01-28 08:06:48,12.0,Lesure St & W Outer Dr,LESURE ST,W OUTER DR
202402802155.0,2024-01-28 12:13:07,12.0,19153 LESURE ST, LESURE ST,2024-01-28,202402800663,2024-01-28 08:06:48,12.0,Lesure St & W Outer Dr,LESURE ST,W OUTER DR
202402800504.0,2024-01-28 02:16:07,12.0,17923 JOHN R ST, JOHN R ST,2024-01-28,202402802817,2024-01-28 20:33:34,12.0,Puritan St & Schaefer Hwy,PURITAN ST,SCHAEFER HWY
202402800514.0,2024-01-28 02:19:12,12.0,18 W MONTANA ST, W MONTANA ST,2024-01-28,202402802817,2024-01-28 20:33:34,12.0,Puritan St & Schaefer Hwy,PURITAN ST,SCHAEFER HWY
202402800541.0,2024-01-28 02:30:11,12.0,13 W MONTANA ST, W MONTANA ST,2024-01-28,202402802817,2024-01-28 20:33:34,12.0,Puritan St & Schaefer Hwy,PURITAN ST,SCHAEFER HWY
202402802153.0,2024-01-28 12:12:42,12.0,19153 LESURE ST, LESURE ST,2024-01-28,202402802817,2024-01-28 20:33:34,12.0,Puritan St & Schaefer Hwy,PURITAN ST,SCHAEFER HWY
202402802155.0,2024-01-28 12:13:07,12.0,19153 LESURE ST, LESURE ST,2024-01-28,202402802817,2024-01-28 20:33:34,12.0,Puritan St & Schaefer Hwy,PURITAN ST,SCHAEFER HWY
202402800363.0,2024-01-28 01:31:50,8.0,18967 WARWICK ST, WARWICK ST,2024-01-28,202402800372,2024-01-28 06:31:43,8.0,Warwick St & Margareta St,WARWICK ST,MARGARETA ST
202402800365.0,2024-01-28 01:31:57,8.0,18959 WARWICK ST, WARWICK ST,2024-01-28,202402800372,2024-01-28 06:31:43,8.0,Warwick St & Margareta St,WARWICK ST,MARGARETA ST
202402800377.0,2024-01-28 01:33:17,8.0,18957 WARWICK ST, WARWICK ST,2024-01-28,202402800372,2024-01-28 06:31:43,8.0,Warwick St & Margareta St,WARWICK ST,MARGARETA ST
202402800393.0,2024-01-28 01:37:19,8.0,19169 FERGUSON ST, FERGUSON ST,2024-01-28,202402800372,2024-01-28 06:31:43,8.0,Warwick St & Margareta St,WARWICK ST,MARGARETA ST
